Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
,Afghanistan,2020-09-20 04:22:56,33.93911,67.709953,38919,1437,32576,4906.0,Afghanistan,99.9760046286072,3.692283974408386
,Albania,2020-09-20 04:22:56,41.1533,20.1683,12226,358,6888,4980.0,Albania,424.83841823615273,2.9281858334696547
,Algeria,2020-09-20 04:22:56,28.0339,1.6596,49623,1665,34923,13035.0,Algeria,113.16264472888365,3.35529895411402
,Andorra,2020-09-20 04:22:56,42.5063,1.5218,1564,53,1164,347.0,Andorra,2024.202420242024,3.3887468030690537
,Angola,2020-09-20 04:22:56,-11.2027,17.8739,3901,147,1445,2309.0,Angola,11.869312329589718,3.7682645475519103
,Antigua and Barbuda,2020-09-20 04:22:56,17.0608,-61.7964,96,3,92,1.0,Antigua and Barbuda,98.03120660076792,3.125
,Argentina,2020-09-20 04:22:56,-38.4161,-63.6167,622934,12799,478077,132058.0,Argentina,1378.3013399681124,2.0546317908478264
,Armenia,2020-09-20 04:22:56,40.0691,45.0382,47154,928,42551,3675.0,Armenia,1591.3019356554364,1.9680196801968017
Australian Capital Territory,Australia,2020-09-20 04:22:56,-35.4735,149.0124,113,3,110,0.0,"Australian Capital Territory, Australia",26.395701938799345,2.6548672566371683
New South Wales,Australia,2020-09-20 04:22:56,-33.8688,151.2093,4200,53,2994,1153.0,"New South Wales, Australia",51.736881005173686,1.261904761904762
Northern Territory,Australia,2020-09-20 04:22:56,-12.4634,130.8456,33,0,31,2.0,"Northern Territory, Australia",13.436482084690551,0.0
Queensland,Australia,2020-09-20 04:22:56,-27.4698,153.0251,1152,6,1123,23.0,"Queensland, Australia",22.51979278662888,0.5208333333333334
South Australia,Australia,2020-09-20 04:22:56,-34.9285,138.6007,466,4,462,0.0,"South Australia, Australia",26.530031312268715,0.8583690987124464
Tasmania,Australia,2020-09-20 04:22:56,-42.8821,147.3272,230,13,217,0.0,"Tasmania, Australia",42.95051353874883,5.652173913043479
Victoria,Australia,2020-09-20 04:22:56,-37.8136,144.9631,20042,761,18379,902.0,"Victoria, Australia",302.2971688864085,3.7970262448857404
Western Australia,Australia,2020-09-20 04:22:56,-31.9505,115.8605,662,9,650,3.0,"Western Australia, Australia",25.165361514483386,1.3595166163141994
,Austria,2020-09-20 04:22:56,47.5162,14.5501,37474,765,28961,7748.0,Austria,416.08189731746313,2.0414153813310563
,Azerbaijan,2020-09-20 04:22:56,40.1431,47.5769,39042,574,36601,1867.0,Azerbaijan,385.06091471939277,1.4702115670303777
,Bahamas,2020-09-20 04:22:56,25.025885,-78.035889,3214,73,1679,1462.0,Bahamas,817.2959557327691,2.271313005600498
,Bahrain,2020-09-20 04:22:56,26.0275,50.55,64499,221,57299,6979.0,Bahrain,3790.529171953409,0.3426409711778477
,Bangladesh,2020-09-20 04:22:56,23.685,90.3563,347372,4913,254386,88073.0,Bangladesh,210.92555796386702,1.4143339129233214
,Barbados,2020-09-20 04:22:56,13.1939,-59.5432,185,7,172,6.0,Barbados,64.37671163756956,3.783783783783784
,Belarus,2020-09-20 04:22:56,53.7098,27.9534,75461,776,73212,1473.0,Belarus,798.5864804465845,1.0283457680126158
,Belgium,2020-09-20 04:22:56,50.8333,4.469936,100748,9944,18945,71859.0,Belgium,869.2954106503615,9.870171120022233
,Belize,2020-09-20 04:22:56,17.1899,-88.4976,1606,20,876,710.0,Belize,403.902208384366,1.2453300124533002
,Benin,2020-09-20 04:22:56,9.3077,2.3158,2280,40,1950,290.0,Benin,18.806918768463568,1.7543859649122806
,Bhutan,2020-09-20 04:22:56,27.5142,90.4336,259,0,190,69.0,Bhutan,33.566092803118664,0.0
,Bolivia,2020-09-20 04:22:56,-16.2902,-63.5887,130470,7586,89032,33852.0,Bolivia,1117.7047534106187,5.8143634552004295
,Bosnia and Herzegovina,2020-09-20 04:22:56,43.9159,17.6791,25217,758,17489,6970.0,Bosnia and Herzegovina,768.6199922885014,3.0059087123765718
,Botswana,2020-09-20 04:22:56,-22.3285,24.6849,2567,13,624,1930.0,Botswana,109.15856056981876,0.5064277366575769
Acre,Brazil,2020-09-20 04:22:56,-9.0238,-70.812,27061,648,24298,2115.0,"Acre, Brazil",3068.366716367985,2.3945900003695355
Alagoas,Brazil,2020-09-20 04:22:56,-9.5713,-36.782,83950,2014,80658,1278.0,"Alagoas, Brazil",2515.463583907865,2.3990470518165576
Amapa,Brazil,2020-09-20 04:22:56,0.902,-52.003,46738,691,35026,11021.0,"Amapa, Brazil",5526.343482738601,1.4784543626171425
Amazonas,Brazil,2020-09-20 04:22:56,-3.4168,-65.8561,131573,3956,109874,17743.0,"Amazonas, Brazil",3174.566791415426,3.0066959026548
Bahia,Brazil,2020-09-20 04:22:56,-12.5797,-41.7007,294210,6221,280351,7638.0,"Bahia, Brazil",1978.1398103309448,2.1144760545188808
Ceara,Brazil,2020-09-20 04:22:56,-5.4984,-39.3206,233600,8801,206727,18072.0,"Ceara, Brazil",2558.0158207146287,3.7675513698630136
Distrito Federal,Brazil,2020-09-20 04:22:56,-15.7998,-47.8645,183096,3048,170627,9421.0,"Distrito Federal, Brazil",6072.296061245634,1.6647004849914802
Espirito Santo,Brazil,2020-09-20 04:22:56,-19.1834,-40.3089,123720,3408,113545,6767.0,"Espirito Santo, Brazil",3078.645813892725,2.7546071774975758
Goias,Brazil,2020-09-20 04:22:56,-15.827,-49.8362,182856,4135,172741,5980.0,"Goias, Brazil",2605.3972199179466,2.2613422583891154
Maranhao,Brazil,2020-09-20 04:22:56,-4.9609,-45.2744,167333,3643,157810,5880.0,"Maranhao, Brazil",2365.070236365685,2.177095970310698
Mato Grosso,Brazil,2020-09-20 04:22:56,-12.6819,-56.9211,112242,3214,92468,16560.0,"Mato Grosso, Brazil",3221.2109402129336,2.8634557474029334
Mato Grosso do Sul,Brazil,2020-09-20 04:22:56,-20.7722,-54.7852,63466,1162,56313,5991.0,"Mato Grosso do Sul, Brazil",2283.782645900339,1.830901585100684
Minas Gerais,Brazil,2020-09-20 04:22:56,-18.5122,-44.555,268009,6656,233463,27890.0,"Minas Gerais, Brazil",1266.0571876778415,2.4834986884768795
Para,Brazil,2020-09-20 04:22:56,-1.9981,-54.9306,220205,6451,204728,9026.0,"Para, Brazil",2559.670528364679,2.9295429259099475
Paraiba,Brazil,2020-09-20 04:22:56,-7.24,-36.782,116588,2695,89305,24588.0,"Paraiba, Brazil",2901.550896723772,2.3115586509760866
Parana,Brazil,2020-09-20 04:22:56,-25.2521,-52.0215,163479,4093,114358,45028.0,"Parana, Brazil",1429.7674899424585,2.503685488656035
Pernambuco,Brazil,2020-09-20 04:22:56,-8.8137,-36.9541,141042,8004,122512,10526.0,"Pernambuco, Brazil",1475.786880729462,5.674905347343343
Piaui,Brazil,2020-09-20 04:22:56,-7.7183,-42.7289,90061,2025,87492,544.0,"Piaui, Brazil",2751.443758712732,2.248476032911027
Rio Grande do Norte,Brazil,2020-09-20 04:22:56,-5.4026,-36.9541,66963,2348,39924,24691.0,"Rio Grande do Norte, Brazil",1909.489790418931,3.5064139898152717
Rio Grande do Sul,Brazil,2020-09-20 04:22:56,-30.0346,-51.2177,174140,4371,159153,10616.0,"Rio Grande do Sul, Brazil",1530.5998230326354,2.510049385551855
Rio de Janeiro,Brazil,2020-09-20 04:22:56,-22.9068,-43.1729,251261,17634,228258,5369.0,"Rio de Janeiro, Brazil",1455.324816305504,7.018200198200277
Rondonia,Brazil,2020-09-20 04:22:56,-11.5057,-63.5806,62697,1297,52932,8468.0,"Rondonia, Brazil",3527.8031763001313,2.068679522146195
Roraima,Brazil,2020-09-20 04:22:56,-2.7376,-62.0751,48088,613,15164,32311.0,"Roraima, Brazil",7938.444369974297,1.2747462984528364
Santa Catarina,Brazil,2020-09-20 04:22:56,-27.2423,-50.2189,205250,2635,194520,8095.0,"Santa Catarina, Brazil",2864.7044406617474,1.2838002436053593
Sao Paulo,Brazil,2020-09-20 04:22:56,-23.5505,-46.6333,931673,33927,780448,117298.0,"Sao Paulo, Brazil",2028.946636068181,3.641513707062456
Sergipe,Brazil,2020-09-20 04:22:56,-10.5741,-37.3857,75772,1976,68932,4864.0,"Sergipe, Brazil",3296.303643456987,2.6078234704112337
Tocantins,Brazil,2020-09-20 04:22:56,-10.1753,-48.2982,63167,866,45266,17035.0,"Tocantins, Brazil",4016.0445962974595,1.3709690186331471
,Brunei,2020-09-20 04:22:56,4.5353,114.7277,145,3,142,0.0,Brunei,33.144145029635446,2.0689655172413794
,Bulgaria,2020-09-20 04:22:56,42.7339,25.4858,18819,755,13558,4506.0,Bulgaria,270.8375758892817,4.0119028641266805
,Burkina Faso,2020-09-20 04:22:56,12.2383,-1.5616,1816,56,1176,584.0,Burkina Faso,8.687632628719763,3.0837004405286343
,Burma,2020-09-20 04:22:56,21.9162,95.956,5263,81,1188,3994.0,Burma,9.672890876962336,1.5390461713851415
,Burundi,2020-09-20 04:22:56,-3.3731,29.9189,473,1,374,98.0,Burundi,3.9778715964914335,0.21141649048625796
,Cabo Verde,2020-09-20 04:22:56,16.5388,-23.0418,5186,50,4581,555.0,Cabo Verde,932.7539443297336,0.9641342074816814
,Cambodia,2020-09-20 04:22:56,11.55,104.9167,275,0,274,1.0,Cambodia,1.644838070476945,0.0
,Cameroon,2020-09-20 04:22:56,3.8480000000000003,11.5021,20431,416,19124,891.0,Cameroon,76.9649087330516,2.0361215799520336
Alberta,Canada,2020-09-20 04:22:56,53.9333,-116.5765,16381,255,14702,1424.0,"Alberta, Canada",371.18645066354026,1.5566815212746474
British Columbia,Canada,2020-09-20 04:22:56,53.7267,-127.6476,7842,223,5797,1822.0,"British Columbia, Canada",153.43626202499468,2.8436623310380007
Diamond Princess,Canada,2020-09-20 04:22:56,,,0,1,0,,"Diamond Princess, Canada",,
Grand Princess,Canada,2020-09-20 04:22:56,,,13,0,13,0.0,"Grand Princess, Canada",,0.0
Manitoba,Canada,2020-09-20 04:22:56,53.7609,-98.8139,1558,16,1211,331.0,"Manitoba, Canada",113.10205246105856,1.0269576379974326
New Brunswick,Canada,2020-09-20 04:22:56,46.5653,-66.4619,194,2,192,0.0,"New Brunswick, Canada",24.872018082213557,1.0309278350515465
Newfoundland and Labrador,Canada,2020-09-20 04:22:56,53.1355,-57.6604,272,3,267,2.0,"Newfoundland and Labrador, Canada",52.17074410441821,1.1029411764705883
Northwest Territories,Canada,2020-09-20 04:22:56,64.8255,-124.8457,5,0,5,0.0,"Northwest Territories,Canada",11.134865490824867,0.0
Nova Scotia,Canada,2020-09-20 04:22:56,44.681999999999995,-63.7443,1086,65,1021,0.0,"Nova Scotia, Canada",111.10463171269942,5.985267034990794
Ontario,Canada,2020-09-20 04:22:56,51.2538,-85.3232,48317,2876,42573,2868.0,"Ontario, Canada",328.4228396649852,5.952356313512842
Prince Edward Island,Canada,2020-09-20 04:22:56,46.5107,-63.4168,57,0,56,1.0,"Prince Edward Island, Canada",36.039909457630976,0.0
Quebec,Canada,2020-09-20 04:22:56,52.9399,-73.5491,67080,5797,58490,2793.0,"Quebec, Canada",785.6940895143103,8.641920095408468
Saskatchewan,Canada,2020-09-20 04:22:56,52.9399,-106.4509,1787,24,1642,121.0,"Saskatchewan, Canada",151.22716571349258,1.3430330162283155
Yukon,Canada,2020-09-20 04:22:56,64.2823,-135.0,15,0,15,0.0,"Yukon, Canada",36.515896586980865,0.0
,Central African Republic,2020-09-20 04:22:56,6.6111,20.9394,4786,62,1830,2894.0,Central African Republic,99.09386876874315,1.2954450480568325
,Chad,2020-09-20 04:22:56,15.4542,18.7322,1149,81,966,102.0,Chad,6.995067959611733,7.049608355091383
Antofagasta,Chile,2020-09-20 04:22:56,-23.6509,-70.3975,19391,489,18423,479.0,"Antofagasta, Chile",3191.755523147676,2.521788458563251
Araucania,Chile,2020-09-20 04:22:56,-38.9489,-72.3311,6358,103,5770,485.0,"Araucania, Chile",664.2123473711482,1.620006291286568
Arica y Parinacota,Chile,2020-09-20 04:22:56,-18.594,-69.4785,7561,138,7030,393.0,"Arica y Parinacota, Chile",3344.568890776226,1.8251554027245076
Atacama,Chile,2020-09-20 04:22:56,-27.5661,-70.0503,6552,56,6083,413.0,"Atacama, Chile",2267.5674179079683,0.8547008547008547
Aysen,Chile,2020-09-20 04:22:56,-45.9864,-73.7669,223,1,155,67.0,"Aysen, Chile",216.1732488028073,0.4484304932735426
Biobio,Chile,2020-09-20 04:22:56,-37.4464,-72.1416,21564,286,19404,1874.0,"Biobio, Chile",1385.144574946766,1.3262845483212762
Coquimbo,Chile,2020-09-20 04:22:56,-29.959,-71.3389,11497,192,10756,549.0,"Coquimbo, Chile",1517.5834822713198,1.6700008697921196
Los Lagos,Chile,2020-09-20 04:22:56,-41.9198,-72.1416,8086,85,7312,689.0,"Los Lagos, Chile",975.7357235600476,1.0511996042542666
