state,country,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
Alabama,United States,2020-09-20 04:22:56,32.94637732897471,-86.7628489396731,144164,2437,0,141727.0,"Alabama, US",2940.2113116270343,1.6904358924558143
Alaska,United States,2020-09-20 04:22:56,61.72897671021404,-148.49712900282404,6728,45,0,6683.0,"Alaska, US",925.9284745025611,0.66884661117717
Arizona,United States,2020-09-20 04:22:56,33.30443422104161,-112.28089666758164,212938,5449,0,207489.0,"Arizona, US",2925.4881045656807,2.5589608242774893
Arkansas,United States,2020-09-20 04:22:56,35.13536510586579,-92.70171646354846,73511,1181,0,72330.0,"Arkansas, US",2435.9103507053474,1.6065622831957123
California,United States,2020-09-20 04:22:56,35.27157303374641,-118.78302491857204,783313,15018,0,768295.0,"California, US",1982.4574284266416,1.917241256049625
Colorado,United States,2020-09-20 04:22:56,39.64835538754989,-104.90146240190094,64336,2013,0,62323.0,"Colorado, US",1117.4624348439295,3.1288858492912213
Connecticut,United States,2020-09-20 04:22:56,41.4937782491824,-72.98789840245479,55406,4492,0,50914.0,"Connecticut, US",1554.0403900162876,8.107425188607733
Delaware,United States,2020-09-20 04:22:56,39.18624205136457,-75.54272391587097,18973,621,0,18352.0,"Delaware, US",1948.4187133638127,3.2730722605808253
District of Columbia,United States,2020-09-20 04:22:56,38.90417773,-77.01655992,14902,619,0,14283.0,"District of Columbia, US",2111.515567149227,4.153804858408267
Florida,United States,2020-09-20 04:22:56,27.479000971596328,-81.56337837909541,679641,13287,0,666354.0,"Florida, US",3164.397627180182,1.9550027146684794
Georgia,United States,2020-09-20 04:22:56,33.3144894072439,-83.83153720362843,285660,6445,0,279215.0,"Georgia, US",2690.4833687044397,2.25617867394805
Guam,United States,2020-09-20 04:22:56,13.4443,144.7937,2074,31,0,2043.0,"Guam, US",1262.8707475537208,1.4946962391513983
Hawaii,United States,2020-09-20 04:22:56,21.335754933414762,-157.7931766015135,11298,119,0,11179.0,"Hawaii, US",798.0019579230194,1.0532837670384139
Idaho,United States,2020-09-20 04:22:56,43.80974650429788,-115.45051539981475,37244,441,0,36803.0,"Idaho, US",2084.087596142278,1.1840833422833208
Illinois,United States,2020-09-20 04:22:56,41.403062877447844,-88.27193113471624,272798,8436,0,264362.0,"Illinois, US",2152.7924045012946,3.092398038108784
Indiana,United States,2020-09-20 04:22:56,40.19880884669833,-86.28052963095425,110759,3278,0,107481.0,"Indiana, US",1645.2079173300808,2.9595789055516932
Iowa,United States,2020-09-20 04:22:56,42.00273476916848,-93.24660370364636,79781,1265,0,78516.0,"Iowa, US",2528.660219900034,1.5855905541419635
Kansas,United States,2020-09-20 04:22:56,38.46126545198034,-96.63194064198164,52486,594,0,51892.0,"Kansas, US",1801.5909030059925,1.1317303661928897
Kentucky,United States,2020-09-20 04:22:56,37.79569432789398,-85.45732690838346,61106,1108,0,59998.0,"Kentucky, US",1367.7366270987156,1.8132425621051944
Louisiana,United States,2020-09-20 04:22:56,30.66926784526432,-91.47647945735366,160093,5172,0,154921.0,"Louisiana, US",3443.7533691533763,3.2306222008457586
Maine,United States,2020-09-20 04:22:56,44.01685246093961,-70.22636033804926,5034,139,0,4895.0,"Maine, US",374.49449937956217,2.7612236789829163
Maryland,United States,2020-09-20 04:22:56,39.110270380796365,-76.80249015155097,119744,3865,0,115879.0,"Maryland, US",1980.6539545592886,3.2277191341528595
Massachusetts,United States,2020-09-20 04:22:56,42.31095134892922,-71.32999996907026,124797,9290,0,115507.0,"Massachusetts, US",1810.6194513081825,7.4440892008622
Michigan,United States,2020-09-20 04:22:56,42.698300881572784,-83.98528092535551,122121,6889,0,115232.0,"Michigan, US",1222.8171485783766,5.641126423792795
Minnesota,United States,2020-09-20 04:22:56,45.01476921545034,-93.61662529286443,88534,1963,0,86571.0,"Minnesota, US",1569.854203252978,2.217227279915061
Mississippi,United States,2020-09-20 04:22:56,32.77351967696359,-89.65333379767915,93087,2809,0,90278.0,"Mississippi, US",3127.7667885579654,3.0176071846767
Missouri,United States,2020-09-20 04:22:56,38.42577396906144,-92.15607503802443,112864,1825,0,111039.0,"Missouri, US",1703.255069781031,1.6169903600793876
Montana,United States,2020-09-20 04:22:56,46.51610402880645,-110.12942354289086,10163,156,0,10007.0,"Montana, US",952.4487858456907,1.5349798287907115
